ID	X1	X2	X6	X8	X9	X10	X11	X13	X14	X15	X16	X17	X18	X19	X20	X22	X23	X25	X27	X30	X31	X32	X33	X34	X35	Kabul
X205	0.995	2.9818	27.8189		1.2	13				4.3559	3.648	2.5	1.2	11.7609	0.5	3.9199		0.7057		1			0.6	64.4252	75.1911	0
X206	0.895	2.9818	25.023		1.2	13				2.5526	3.648	2.5	1.2	10.7211	0.5	3.5733		0.6433		1				58.717	68.5431	0
X207	0.65	4.4376	23.7588			10				2.1573		2.7	1.75	25.6419	0.5			0.7095						46.6632	71.6551	1
X208	0.72	3.1546	18.8419		2.8	7.5				1.8523		2.5	1.75	10.8917	0.5			0.4979						40.1167	50.2884	1
X209	0.275	2.5411	6.7538		2.5	4				1.0022		2	1.75	5.8932	0.5			0.2694						21.5915	27.2097	1
X210	0.525	2.4424	15.022			7.5		1.1749		1.9984	9.2284	2.5	1.5	11.2259	0.6	3.0133		1.5958						47.1002	57.8011	1
X211	0.285	2.8397	7.7016			10	0.6			1.4801	3.66	2.5	1.2	6.2163	0.5	2.0719		0.373		0.6				33.8113	39.7426	1
X212	0.72	3.1718	19.075		2.5	7.5				1.8498		2.5	1.75	10.9936	0.5			0.4984						40.065	50.3386	1
X213	0.275	2.5537	6.8374		2.2	4				0.9921		2	1.75	6.0416	0.5			0.2687						21.3769	27.1435	1
X214	0.635	2.4662	18.6091			9		1.1886		3.0021	22.0782	4	1.5	14.9415	0.6	4.4179		2.3396					0.6	70.4367	84.7432	1
X215	0.901	2.4662	28.0509			13		1.1886		3.3003	13.6008	5	1.5	13.8614	0.6	4.7115		2.495					0.6	77.4143	90.3747	0
X216	0.24	1.8609	6.0997		3	5.7				2.6611		3.6	1.8	8.7815	0.5	4.0755		0.7611				0.3	3.75	34.3483	42.8898	1
X217	0.26	0.215	6.7454		1.3	3.35	0.06	0.37		0.8058		1.8	1.5	2.5382	0.4	1.2775		0.1946	0.275			0.1		18.6533	20.9315	0
X218	0.235	0.215	7.0877		0.5	5.5	0.06	3.4708		1.5266		1.9	1.5	4.2003	0.4	1.8077	0.75	0.2754	0.275			0.15		25.6532	29.6185	0
X219	0.655	0.215	18.6384		0.85	6.9	0.06	13.6055		4.6844		3.5	1.5	7.7292	0.4	3.8903	0.75	0.5926	0.275			0.15		56.6662	63.7404	0
X220	1.38	0.215	11.1149		0.5	7.5	0.21	8.3275		3.5336		3.5	2.25	6.4913	0.4	2.978	0.75	0.4536	0.275		0.1939	0.1		43.6815	48.7928	0
X221	1.32	0.125	14.3369			6.5	0.21			1.407		3	2.25	4.4322	0.4	2.2308	0.75	0.3398	0.275		0.1939	0.1		33.4384	36.5506	0
X222	0.305	2.643	8.0825			7.5	0.135	0.15		1.61	4.6873	2.2	1.3	4.2001	0.4	1.8596					0.903			31.7754	35.6705	1
X223	0.53	2.3424	14.575			7.5		1.2014		1.9486	8.7524	2.5	1.5	11.0483	0.6	2.944		1.559						45.9528	56.4711	1
X224	0.75	3.1655	21.1194			13				2.2436	0.7861	4	2	14.1344	0.5	6.5598		1.225				0.3		55.6494	69.0338	0
X225	0.19	1.8155	4.94		3.95	6		3.8		2.6136	1.08	2.5	1.25	8.6247	0.5			1				0.3		29.9391	38.3738	0
X226	0.25	1.8155	6.375		3.2	6		3.8		2.6651	1.06	2.5	1.2	8.7947	0.4			1				0.3		30.5656	39.1103	0
X227	0.44	1.8155	11.44		5.4	6		3.8		3.4086	1.08	2.5	1.25	11.2482	0.5			1				0.3		38.9341	49.7423	0
X228	0.39	1.8155	10.14		6.7	6		3.8		3.4066	1.06	2.5	1.25	11.2416	0.5			1				0.3		38.8621	49.7137	0
X229	0.2	1.8155	5.1		4.7	6		3.8		2.7026	1.06	2.5	1.25	8.9184	0.5			1				0.3		30.9281	39.6465	0
X230	0.28	1.8155	7.14		2.7	6		3.8		2.7066	1.06	2.5	1.25	8.9316	0.5			1				0.3		31.0521	39.7037	0
X231	0.405	1.8161	10.53		5.2	6		3.8		3.2956	1.06	2.5	1.25	10.8755	0.5			1				0.3		37.6567	48.1272	0
X232	0.725	1.8161	18.85		3.2	8.5		1.8		4.5901	4.185	2.5	1.25	15.1474	0.5		3	1				0.3		52.2162	66.6386	0
X233	0.24	1.84	5.9623		1.5	6				2.5452		3.6	2	10.3591	0.5	4.108		0.7671				0.3	3.75	33.1126	43.2317	0
X234	0.66	4.7936	18.7357			13			9.61	3.0616	7.7925	4	2	16.0734	0.5	8.6073	0.5	1.6073				0.3		75.168	90.5814	0
X235	0.66	4.7936	18.7357			13			18.31	3.4716	7.7925	4	2	21.871	0.5	10.1503		1.8955				0.3		85.6092	106.8202	0
X236	0.41	1.0819	12.7445			7				1.2663		2.5	1.5	7.9778	0.5	3.7025		0.6914						31.3966	38.9644	0
X237	0.375	2.766	11.2864			7.5	0.3	0.15		1.7124	3.568	2	1.3	4.4671	0.4	1.9778		0.5			0.5101			34.3457	38.4378	0
X238	0.4	7.3985	10.8073		1.7705	12			0.7	2.6742	14.4568	3	2	14.0393	0.4		0.65	1				0.3		57.5573	71.1966	0
X239	0.4	7.3985	13.7263		1.7705	12			0.7	2.8875	15.8053	3	2	15.1595	0.4		0.65	1				0.3		62.0381	76.7976	0
X240	0.6	7.3985	20.5894		2.2	9				2.5346	5.1546	3	2	13.3068	0.4		0.65	1				0.3		54.8271	67.5339	0
X241	0.6	7.3985	16.211		2.2	12				2.3983	3.8061	3	2	12.591	0.4		0.65	1				0.3		51.9639	63.9549	0
X242	0.325	1.7362	9.1396		3.5	5				1.4188	2.1	3	1.4	5.9589	0.5	1.9861	2	0.3575						32.4632	38.0971	1
X243	0.32	0.735	8.8		0.5	8	0.3			5.588	3.8166	3	2	6.4262	0.5		0.85	2.4634	0.76		0.8373		7.1542	45.6245	51.7307	1
X244	0.8	3.3854	27.6298			20.3			5.7	10.1859		5	2	36.1434	0.7		1	1.1204						77.8215	113.1649	0
X245	0.7	3.3854	24.1761			20.3			5.7	9.6505		5	2	34.2438	0.7		1	1.0616						73.6736	107.2174	0
X246	0.33	2.7351	9.197			7	0.6316			1.3282	2.1	2	2	5.5784	0.4			1			0.3	0.2		29.2219	34.4703	1
X247	0.3	4.875	17.4			7.2				2.0574	5.5	2.5	2	8.6411	0.5				0.5		0.6732			43.5056	51.8467	1
X248	0.19	2.0365	6.878		3	5				1.2507		2.5	2	7.4856	0.4	3.5793	3.2	0.3375						30.372	37.6676	0
X249	0.645	9.3466	17.2868			9				2.1286	1.1041	3	1.5	10.9665	0.5			1						45.5111	55.8326	1
X250	0.84	1.9639	20.9979			5.5		1.2375		1.6956		2.3	1.3125	7.1215	0.6	2.4206		1.2819						40.1499	46.4314	0
X251	0.285	2.6694	8.2157			10	0.3	0.15		2.0411	6.0631	1.8	1.5	8.1642	0.4	2.3574	0.75				0.8086			37.3403	45.2195	0
X252	0.375	3.5694	11.4024			10	0.3	0.15		2.032	2.5	1.8	1.5	8.1278	0.4	2.3469	0.75				0.1395			37.2652	45.018	1
X253	0.624	1.4491	18.3037			10				2.2	5.0477	2.5	1.2	11.8735	0.5	3.226	5	0.5807						50.6312	61.8807	1
X254	0.615	1.213	40.59			15			2	3.2242		2.5	2	13.5414	0.6			2.4375	0.58					70.7597	83.6861	0
X255	0.25	2.941	7.0471			4.5		0.15		1.0835	0.75	1.8	1.2	2.8266	0.4	1.2515					0.0558			21.4289	24.0055	1
X256	0.27	2.9626	7.6985			10	0.6			1.5061	4.26	2.3	1.2	6.3254	0.5	2.0937		0.1139		0.6				34.1048	40.1602	1
X257	0.25	1.0868	28.42			8				2.1253		2.5	2	11.158	0.5	5.9165		0.5579						51.3565	62.2645	0
X258	0.32	1.0868	34.4288			8				2.4258		2.5	2	12.7354	0.5	6.7529		0.6368						58.6511	71.0665	0
X259	0.32	1.0868	24.6848			8				1.9386		2.5	2	10.1776	0.5	5.3967		0.5089						46.9358	56.7934	0
X260	0.32	1.0868	34.4288			8				2.4258		2.5	2	12.7354	0.5	6.7529		0.6368						58.6511	71.0665	0
X261	0.22	1.0868	16.9399			5				1.4013		2.5	2	7.357	0.5	3.9011		0.3679						33.917	41.054	0
X262	1.72	10.0146	82.7802			12.5				5.7362	0.8294	6.5	1.5	24.0921	0.6	8.0299		1.4455						131.6558	154.0279	0
X263	1	3.0414	31.9644			10				3.5158	8.6094	2.5	1.2	14.7662	0.5	4.9216	12.5	0.886						80.6386	94.4048	1
X264	0.495	2.6808	20.0994			9				2.1644	6.1085	2.5	2.5	11.3633	0.4	6.0254		0.5682						52.5417	63.41	0
X265	0.475	2.6808	12.7778			9				1.6953	4.0478	2.5	2.5	8.9004	0.4	4.7194		0.445						41.2411	49.6665	0
X266	0.52	2.6808	17.4195			9				1.9752	5.0045	2.5	2.5	10.37	0.4	5.4987		0.5185						48.0172	57.8672	0
X267	0.51	2.4512	16.191			7.5		1.2666		2.1396	10.7833	2.5	1.5	8.9863	0.6	3.0545		1.6175						50.1137	58.59	1
X268	0.71	2.4512	22.2496			12		1.2666		2.6518	10.4679	2.5	1.5	11.1374	0.6	3.7856		2.0047						62.1874	72.6148	1
X269	1.195	2.4512	34.7559			16		1.2666		3.735	8.9757	5	1.5	15.6869	1	5.332		2.8236					3.75	87.785	102.2769	0
X270	1.195	2.4512	42.833			16		1.2666		4.2699	10.5979	6	1.5	17.9337	1	6.0957		3.2281					3.75	100.1874	116.9261	0
X271	1.195	2.4512	42.833			14		1.2666		3.7333	1.8644	6	1.5	15.6797	1	5.3295		2.8223					3.75	87.7453	102.23	0
X272	1.115	2.4512	32.4291			14		1.2666		3.1491	1.5858	5	1.5	13.2264	1	4.4956		2.3807					3.75	74.1231	86.2345	0
X273	0.22	2.4512	6.5788			9		1.2666		1.5092	3.3877	3	1.5	6.3387	1	2.1545		1.141					2	35.209	41.3277	1
X274	0.22	2.4512	8.1109			9		1.2666		1.6154	3.9797	3	1.5	6.7848	1	2.3061		1.2213					2	37.6712	44.236	0
X275	0.2	0.725	9.9261			4.5				1.1268	1.874	3	1.5	4.0225	0.5			0.5537	0.51					24.4156	28.2381	0
X276	0.323	7.1055	11.3072		0.5	12	0.3	0.2		2.6035	2.902	2.4	2.5	8.5925	0.5	3.0071	0.75	0.5156	0.53		0.8439		1.1239	49.4117	57.6812	0
X277	0.323	5.5936	11.3876		0.5	12	3.0069	0.2		2.565		3	2.5	8.4654	0.5	2.9626	0.75	0.5079	0.53		1.2384		1.1207	48.6857	56.8281	0
X278	0.323	5.5936	12.9015		0.5	12	3.0069	0.2		2.6568		3	2.5	8.7682	0.5	3.0686	0.75	0.5261	0.53		1.2384		1.1207	50.4156	58.8608	0
X279	0.265	5.5936	9.3428		0.5	12	3.0069	0.2		2.4411		3	2.5	8.0565	0.5	2.8195	0.75	0.4834	0.53		1.2384		1.1207	46.2914	54.0829	0
X280	0.265	5.5936	10.5848		0.5	12	3.0069	0.2		2.5164		3	2.5	8.3049	0.5	2.9064	0.75	0.4983	0.53		1.2384		1.1207	47.7105	55.7504	0
X281	1.7	6.2696	58.7442			13.25		1.243		4.4803	2	6	1.5	14.1131	0.6	6.0998		2.705						104.5919	117.005	0
X282	1.4	2.6764	13.13		6	8				1.9315	3.9631	2.5	2	11.276	0.36	5.4973		0.5184						47.9767	57.8527	0
X283	1.5	2.7878	32.853		8.3	9.5				3.2977	7.154	2.5	2	17.3131	0.36	9.1803		0.8657					0.5	80.7985	96.6116	1
X284	1.5	1.7264	21.3135		2.8	8				2.1579	4.4585	2.5	2	12.5979	0.36	6.1418		0.5791						53.5372	64.6351	0
X285	0.24	1.8625	6.3409			5.5				1.4402		3	1.8	9.0731	0.5	4.2108	9.5	0.7863				0.3		35.4807	44.3138	0
X286	0.6	2.4912	16.5953			10				2.3416	0.4458	5	2	13.7687	0.5	6.7412	9.5	1.2589				0.3		57.774	70.9427	0
X287	0.33	3.035	19.233			9.5	0.5	0.15		2.3929	1.5374	3	2.5	6.2423	0.4	2.7638		0.5			1.7598			47.6019	53.5142	0
X288	0.32	3.035	13.5053			9.5	0.5	0.15		2.189	3.7196	3	2.5	5.7105	0.4	2.5283		0.5			1.7598			43.607	48.9975	0
X289	0.22	2.6096	5.6925			4		1.2561		2.146	0.3015	2.5	1.5	6.2555	0.6	1.6916		0.8958					3	26.4131	32.4486	1
X290	0.89	1.7825	26.1087		3	10		14.6061		6.6442	3.8451	5	1.5	14.6173	0.6	4.8719		0.877						79.7255	93.4528	0
X291	0.32	3.064	13.6849			9.5	0.5	0.15		2.0741	1.4891	3	2.5	5.4107	0.4	2.3956		0.5			1.7832			41.3609	46.4516	0
X292	0.2	2.4615	6.2123			12		1.2728		1.6081	3.2153	3	1.5	6.754	1	2.2957		1.2157					1.5	37.4814	44.0354	1
X293	1.02	2.4615	32.9848			16		1.2728		3.6076	8.1829	5	1.5	15.1519	1	5.1501		2.7273					3.75	84.657	98.7889	0
X294	0.74	2.4615	23.9301			14		1.2728		2.7038	1.7231	5	1.5	11.3558	1	3.8598		2.044					3.1875	63.4226	74.0384	1
X295	0.32	3.064	13.1147			9.5	0.5	0.15		2.0413	1.4891	3	2.5	5.3252	0.4	2.3577		0.5			1.7832			40.72	45.7252	0
X296	0.315	3.064	9.5163		2.5	8.5	0.5	0.15		2.7184	4.5255	3	2.5	14.3916	0.4	3.1398	4.5	0.5			0.821			46.65	60.7266	1
X297	0.26	3.2173	7.6814			8	0.5	0.15		1.5179	2.3	2	1.5	3.9598	0.4	1.7532	0.65	0.5						30.4298	34.1296	0
X298	0.3	3.4073	8.9916			9	0.764	0.15		1.8813	2.8	2.5	2.5	4.9077	0.4	2.1729	0.8	0.5			1.4053			37.5724	42.1801	0
X299	0.25	3.5773	8.0282			8.5	0.075	0.15		2.187	10.5343	2	2.5	5.7051	0.4	2.5259	1.2	0.5			1.0693			43.497	48.9521	0
X300	0.25	3.5773	8.0282			8.5	0.075	0.15		2.1122	9.7343	2	2	5.5101	0.4	2.4396	1.2	0.5			1.0693			42.0359	47.296	0
X301	0.23	1.886	6.1935		2	5.7				2.573		3.6	1.8	9.9059	0.5	4.0921		0.7642				0.3	3.75	33.3888	43.0647	1
X302	0.175	0.79	4.8857		2.6	5				0.8751		1.5	1.5	3.6752	0.5	1.8744		0.1733	0.28			0.152		20.3055	23.9257	0
X303	0.175	0.79	4.8857		2.2	5				0.8549		1.5	1.5	3.5904	0.5	1.8311		0.1693	0.28			0.152		19.838	23.3734	0
X304	0.67	4.856	22.6239			15			11.8	3.5023	8.9655	4	2	22.0643	0.5	10.24		1.9122				0.3		86.3699	107.7642	0
X305	0.47	2.356	15.8705			13			12	3.0009	9.9913	4	2	18.9056	0.5	8.7741		1.6385				0.3		73.9013	92.3369	0
X306	0.8	6.456	25.6458		2	10				2.9789	8.677	4	2	18.7673	0.5	8.7099		1.6265				0.3		73.6941	91.6614	0
X307	0.61	2.08	24.845			13				3.0327	10.1695	3	2.5	11.4637	0.5		4	3.006	0.56					67.3032	78.1569	1
X308	0.175	1.7311	13.7925			5.5				2.1779	1.3	2.5	2	7.3504	0.4	3.8975		0.3675						33.8415	41.0169	0
X309	0.185	1.7311	14.5807			7				2.4569	2.5	2.5	2	8.2922	0.4	4.3969		0.4146						38.1652	46.2724	0
X310	0.22	1.7348	10.2828			7				2.2378	4.055	2.5	2	7.5526	0.4	4.0048		0.3776						34.8128	42.1454	0
X311	0.185	1.7348	8.6469			5.5				1.9869	4.055	2.5	2	6.7059	0.4	3.5558		0.3353						30.8997	37.4206	0
X312	0.23	1.7348	7.8636			5.5				1.7999	2.5	2.5	2	6.0746	0.4	3.221		0.3037						28.053	33.8976	0
X313	0.28	1.7348	9.5731			7				2.0566	2.5	2.5	2	6.9411	0.4	3.6805		0.3471						32.0721	38.7332	0
X314	0.26	3.2551	7.1885			8	0.5	0.15		1.4918	2.3	2	1.5	3.8915	0.4	1.723	0.65	0.5						29.9184	33.5499	1
X315	0.3	3.6551	8.2944			8.5	0.776	0.15		1.7482	2.4	2	2	4.5605	0.4	2.0192	0.8	0.5			1.428			34.9709	39.2314	1
X316	0.25	3.4599	7.776			8.5	0.075	0.15		2.0988	9.8542	2	2	5.4752	0.4	2.4242	1.2	0.5			1.0865			41.7746	46.9998	0
X317	0.255	3.5013	8.1851			8.5	0.075	0.15		1.8126	4.8553	2	2	4.7285	0.4	2.0935	0.75	0.5			1.1064			36.1842	40.6577	0
X318	0.22	1.7382	13.2646			7				2.4789	4.0835	2.5	2	8.3663	0.4	4.4362		0.4183						38.5397	46.686	0
X319	0.185	1.7382	11.1543			5.5				2.1901	4.0835	2.5	2	7.3915	0.4	3.9194		0.3696						34.0401	41.2466	0
X320	0.255	5.8901	8.3138			4				1.2274	2.3447	1.8	1.5	5.1552	0.4			1				0.3		27.031	31.9312	0
X321	0.6	4.7515	18.9673			6				2.1475	4.6312	3	1	10.0567	0.4	3.1245	3.2	1.6546		1				50.4766	59.9333	1
X322	0.2	1.6258	12.6449		2.9	4.5				1.291	0.9484	2	0.8	5.422	0.4	1.8429		0.976						30.129	35.351	1
X323	0.495	2.099	15.648			7		1.3172		2.7834	17.7028	2.3	1.5	12.8591	0.6	4.0397	7.5	2.1393						65.1244	77.4885	1
X324	0.725	1.8263	18.85		6.7	8.5		1.8		4.9411	4.185	2.5	1.25	16.3057	0.5		3	1				0.3		56.0774	71.6581	0
X325	0.255	3.4892	8.1522			8.5	0.075	0.15		1.6966	3.1386	2	2	4.4258	0.4	1.9595	0.5	0.5			1.1006			33.9167	38.0875	0
X326	0.255	3.4892	8.1522			8.5	0.075	0.15		1.7068	3.3162	2	2	4.4525	0.4	1.9713	0.5	0.5			1.1006			34.1163	38.3138	1
X327	0.305	3.1292	9.4798			5.5	0.075	0.15		1.4691	2.4	2	1.5	3.8325	0.4	1.6968	0.35	0.8137			0.566			29.8346	33.3621	0
X328	0.295	3.7658	11.0659			7	0.12	0.15		1.6986	3.1741	2	1.5	3.7209	0.4	1.9619	0.45	0.9408			0.6256			35.1477	38.5736	1
X329	0.265	3.1292	9.4132			5.5	0.075	0.15		1.471	2.5	2	1.5	3.8375	0.4	1.6991	0.35	0.8148			0.566			29.8333	33.4058	0
X330	0.775	2.5348	24.9016			12.5		1.3169	2.5	10.0383	5.669	5	1.5	23.0882	1	5.6678		3.0015					10	86.4049	108.7181	0
X331	0.355	2.5348	19.2602			6		1.3169		1.8306		5	1.5	7.6885	1	2.6133		1.3839						42.7947	50.1282	0
X332	0.62	0.535	40.1462			12			2	4.0832	18.5214	3	1.8	17.1492	0.5		1.2	2.0579	0.76		0.5504		0.65	88.4241	104.9533	1
X333	0.65	1.431	45.679			12	1.8			4.085	7.9078	3.5	2.5	17.157	0.5		2.5	2.0588	0.48		2.752		0.65	88.4936	105.0006	1
X334	0.19	3.1229	12.4145			4.5		0.75		1.4819	1.5008	2.5	1.25	6.224	0.6	2.1155	3	1.1203						34.5459	40.5799	1
X335	0.435	4.975	14.6361			8.5				2.3011	10.7962	2.5	1.5	6.2821	0.5	3.0033	1	1.3405	0.275					51.7622	57.6093	0
X336	0.58	1.38	21.632			14				2.8153	6.4837	3.5	3.5	11.8242	0.5		4.5	3.5473	0.81					63.2483	74.4925	1
X337	0.41	1.38	15.17			8				2.1343	12.025	2.8	2	8.0675	0.5			1.5866	0.81					46.8159	54.4734	1
X338	0.215	1.7221	6.2656			5.5		6.3016		2.4744	0.5549	2.3	1.5	6.8047	0.6	1.9274		1.0207						30.3817	36.9714	1
X339	0.45	1.7358	16.169			12				2.7844		2.5	2	9.3973	0.4	4.9829		0.4699						43.492	52.4393	0
X340	0.3	1.7358	10.7794			8				2.0332		2.5	2	6.8621	0.4	3.6386		0.3431						31.7301	38.2922	0
X341	0.505	1.7221	20.2			7.2		1.3016		2.0744	6.664	2.3	1.5	16.118	0.6	3.3809		1.7904						49.2384	64.8514	1
X342	0.32	3.494	10.0428		0.75	8.5	0.4686	0.15		1.7548	1.25	2	2	4.5777	0.5	2.0268	0.8	0.5			0.5623			35.1193	39.377	0
X343	0.23	3.664	6.5996			6.5		0.15		1.3808	2.3	1.5	2	3.602	0.5	1.5948	0.8	0.5						27.7192	31.0912	1
X344	0.33	3.714	10.3567			10	0.4686	0.15		1.9991	3.7161	2.5	2	5.2152	0.5	2.309	0.8	0.5			0.5623			39.9058	44.791	0
X345	0.315	3.714	9.8859			9	0.3	0.15		2.2494	9.3758	2.2	2.5	5.8679	0.4	2.598	0.5	0.5			1.0934			44.7815	50.3344	0
X346	0.29	2.6917	7.7758			6.5		1.3016		2.8671	1.3016	2.5	1.5	6.3076	0.6	2.1439		1.1354					4.5	35.1071	41.1247	0
X347	0.31	2.7084	8.3706			5.5		1.3108		2.9051	1.3108	2.5	1.5	6.3911	0.6	2.1723		1.1504					5.25	35.5884	41.6695	0
X348	1.8	4.1293	14.5177			20			7.7942	3.122	4.548	5	2	13.1122	1.2	4.3703	2	0.7867				1.25		72.5182	83.8304	0
X349	0.19	0.05	5.51		3.5	3.8				0.916		2.8	1.8	3.8472	0.5				0.36					19.426	23.0832	0
X350	1.5	4.3193	12.0981			20			9.589	3.3511	9.5665	5	2	14.0748	1.2	4.6911	2	0.8445				1.25		77.4096	89.9844	0
X351	0.32	0.889	16.32			7.8	0.1			1.065	3.5	3	2	7.3131	0.5			1.3164	0.5		0.8913			38.2017	45.1948	0
X352	0.395	3.9339	22.3485			8	0.8864			2.1063	2	2.4	1.7	7.9618	0.4			1			0.4571			45.6272	53.194	0
X353	0.4	3.3791	14.6686			11	0.7676			1.8706	2.5	2.4	1.9	7.8563	0.4			1			0.3957			40.6816	48.1379	1
X354	0.35	3.0981	11.1976			8	0.694			1.4924	2	2.4	1.7	6.268	0.4			1			0.3578			32.6899	38.6079	1
X355	0.325	3.0981	10.3978			8	0.694			1.4974	2.9	2.4	1.7	6.289	0.4			1			0.3578			32.7701	38.7341	0
X356	0.43	4.6269	13.5209			6				1.4643	0.8886	2	1.75	4.6126	0.5			1						32.1807	36.3633	1
X357	0.63	4.3423	19.9984			7.5				1.519	1.6332	2.5	1.5	7.3062	0.5			1						41.1229	47.7991	1
X358	0.69	4.3681	22.0753			9.5				2.298	4.1151	3	1.5	8.9977	0.5			1						49.0465	57.3542	0
X359	0.58	2.8723	18.4112			7.7				1.9414	4.083	3	1.5	8.0016	0.5			1						41.5879	49.0095	1
X360	0.295	3.6339	16.6019			5				1.5273	1.7094	2	1.2	5.4523	0.4			1						33.3675	38.5248	1
X361	0.295	3.8039	16.6019			5				1.5358	1.7094	2	1.2	4.8377	0.4			1						33.546	38.0887	1
X362	0.295	3.8039	12.2517			5.75				1.313	0.8547	2	1.2	5.5147	0.4			1						28.8683	34.088	1
X363	0.325	2.9681	10.3978			6.5				1.2062	0.6584	2	1.2	5.0661	0.4			1						26.6555	31.3966	0
X364	0.31	3.0981	12.2177			8	0.694			1.5434	2	2.4	1.7	6.4822	0.4			1			0.3578			33.721	39.8932	1
X365	0.345	3.2981	13.1295			8	0.694			1.594	1.9	2.4	1.7	6.6947	0.4			1			0.3578			34.8184	41.1681	0
X366	0.25	1.9557	21.0079			5				1.6866	0.5692	2.7	1.5	9.2799	1	2.483		0.447						38.5994	47.6293	1
X367	0.37	1.9557	34.1006			5				2.3663	0.5692	3.2	1.5	9.9384	1	3.3125		0.5963						53.9706	63.539	0
X368	0.44	1.7438	17.8513			9				3.717	12.9673	2.5	2	12.5449	0.4	6.6519		0.6272						57.8985	70.0034	0
X369	0.25	3.6339	14.2951			5				1.3576	0.623	2	1.2	5.1317	0.4			1						29.7596	34.6413	1
X370	0.26	3.7039	11.731			5.5				1.2579	0.623	2	1.2	4.7548	0.4			1						27.6758	32.1706	1
X371	0.255	3.7276	10.6268			5				1.2877	2.8	2	1.2	5.4084	0.4			1						28.2971	33.4505	1
X372	0.365	2.9681	11.6775		4.2	5.5				1.492	0.4938	2	1.2	6.2663	0.8			1					1	32.6964	38.5977	1
X373	0.31	3.8339	12.8746			7.5				1.627	3.8306	2.4	1.7	7.8582	0.4			1						35.4761	43.0243	0
X374	0.36	3.0981	16.1914			8	0.694			1.7421	2	2.4	1.7	7.3167	0.4			1			0.3578			37.9434	44.9001	1
X375	0.395	3.0981	17.7655			7.5				1.7921	2.6213	2.4	1.7	7.527	0.4			1			0.3578			39.0298	46.1618	1
X376	0.735	5.2565	30.5254			13			4.8566	3.4736	10.8342	3	1.5	13.1303	0.5			1						74.6813	87.0766	1
X377	0.72	10.249	23.0351			10			3.8018	2.8914	4.6089	3	1.5	11.9172	0.5			1						61.3062	72.5034	0
X378	0.72	9.9455	29.1918			17		0.15		3.9286	4.1926	4.5	2	10.2486	0.6	4.5376	0.6				0.144			77.5101	87.0387	0
X379	0.72	9.9455	24.8795			15		0.15		3.4823	3.2435	4	2	9.0844	0.6	4.0221	0.6				0.144			68.7869	77.1513	0
X380	0.68	8.2455	27.5701			14		0.15		3.552	4.9641	4	1.5	9.2661	0.6	4.1025	0.6				0.144			70.1082	78.6943	0
X381	0.68	9.9455	37.5956			17		0.15		4.6437	7.7251	5	2	12.114	0.6	5.3635	0.6				0.144			91.4474	102.8814	0
X382	0.24	3.8064	8.0759			9	0.3	0.15		2.1674	9.6239	2.2	2.5	5.6541	0.4	2.5034	0.5	0.5			1.138			43.105	48.5191	1
X383	0.33	3.8064	9.6592			10	0.4686	0.15		2.0144	3.774	2.5	2	6.044	0.5	2.3266	0.8	0.5			0.5853			39.4145	45.1285	1
X384	0.32	3.5864	9.3665		0.75	8.5	0.4686	0.15		1.7513	1.25	2.5	2	4.5685	0.5	2.0227	0.8	0.5			0.5853			35.0508	39.2993	1
X385	0.27	3.7564	7.903			6.5		0.15		1.461	2.3	1.5	2	3.8114	0.5	1.6875	0.8	0.5						29.3279	32.8693	0
X386	0.68	9.9578	21.9412			15		0.15		3.447	5.5551	4	2	8.9922	0.6	3.9813	0.6				0.144			68.0564	76.3686	0
X387	0.68	9.9578	21.3143			15		0.15		3.377	4.9651	4	2	8.8097	0.6	3.9005	0.6				0.144			66.6887	74.8184	0
X388	0.68	8.2578	21.6278			14		0.15		3.2111	4.9651	4	1.5	8.3767	0.6	3.7088	0.6				0.144			63.4446	71.1413	0
X389	0.24	2.5858	14.8249			6				2.2649		2.5	2	12.8418	0.4	4.6044		0.4342						35.8542	48.456	1
X390	0.195	1.9472	7.0963		1.6	5				1.0183	0.7228	2	1.5	4.2769	0.5	1.4255		0.2566						23.2617	27.3436	0
X391	0.195	1.9472	7.0963			5				1.1747	1.4506	2	1.5	4.9338	0.5	1.6444	4	0.296						26.8042	31.543	1
X392	1.05	8.78	36.941			15				3.6104	2.4379	5	2	18.9548	0.75	10.1503		1.8955				0.3	1	88.9151	106.8199	0
X393	0.22	1.9309	7.5416		4.5	5.5				1.3436		3.6	1.8	11.2864	0.5	4.2307	1.2	0.7901				0.3		33.4569	44.5233	1
X394	0.28	1.9309	9.5983		9.5	5.5				1.6365		3.6	1.8	10.3097	0.5	4.7847		0.8935				0.3		40.3239	50.3536	0
X395	0.53	2.2309	25.587		8	10				2.7324	1.0292	4	2	14.3449	0.5	7.6817		1.4345				0.3	1	67.0257	80.8406	0
X396	0.53	2.2309	26.9928		8	10				2.8026	1.0292	4	2	14.7139	0.5	7.8793		1.4714				0.3	1	68.7362	82.9201	0
X397	0.22	1.9309	7.5416		8	5.5				1.4586		3.6	1.8	9.1893	0.5	4.2648		0.7964				0.3		35.9123	44.8816	0
X398	0.22	1.9309	11.0879		8	5.5				1.6359		3.6	1.8	10.3064	0.5	4.7832		0.8932				0.3		40.2511	50.3375	0
X399	0.685	3.28	21.6278			13				7.5358	6.0576	5	2	20.7235	0.75	11.0975		2.0724				0.3	23.3429	96.749	116.7875	0
